Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
Quanta Computer,"Quanta Computer Incorporated is a Taiwan-based manufacturer of notebook computers and other electronic hardware. Its customers include Apple Inc., Dell, Hewlett-Packard Inc., Alienware, Amazon.com, Cisco, Fujitsu, Gericom, Lenovo, LG, Maxdata, MPC, BlackBerry Ltd, Sharp Corporation, Siemens AG, Sony, Sun Microsystems, Toshiba, Verizon Wireless, and Vizio.",27715,-12.7,469.3,18229,-16.4,92698,"Computers, Office Equipment",326,390,Barry Lam,Technology,"Computers, Office Equipment","Taoyuan, Taiwan",http://www.quantatw.com,12,4123,4123,2.6,11.4
Kroger,"The Kroger Co., or simply Kroger, is an American retailing company founded by Bernard Kroger in 1883 in Cincinnati, Ohio. It is the United States's largest supermarket chain by revenue, the second-largest general retailer and the seventeenth largest company in the United States.",115337,5,1975,36505,-3.1,443000,Food and Drug Stores,42,40,W. Rodney McMullen,Health Care,Food and Drug Stores,"Cincinnati, OH",http://www.thekrogerco.com,23,6698,6698,5.4,29.5
Westpac Banking,"Westpac Banking Corporation, more commonly known as Westpac, is an Australian bank and financial-services provider headquartered at Westpac Place in Sydney. Founded in 1817, Westpac is Australia‚  first and oldest bank. It is one of Australia's big four"" banks. Its name is a portmanteau of ""Western"" and ""Pacific"".",27704,-10.8,5477,642083,-12.7,35280,Banks: Commercial and Savings,336,391,Brian C. Hartzer,Financial Sector,Banks: Commercial and Savings,"Sydney, Australia",http://www.westpac.com.au,13,44468,44468,0.9,12.3
Coop Group,"The Co-operative Group, trading as the Co-op, is a British consumer co-operative with a diverse family of retail businesses including food retail and wholesale; electrical retail; financial services; insurance services; legal services and funeralcare, with in excess of 4,200 locations.",27669,2.8,482.1,18369,11.5,73451,Food and Drug Stores,396,392,Joos Sutter,Health Care,Food and Drug Stores,"Basel, Switzerland",http://www.coop.ch,8,8250,8250,2.6,5.8
Facebook,"Facebook, Inc. is an American online social media and social networking service company. It is based in Menlo Park, California. It was founded by Mark Zuckerberg, along with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz and Chris Hughes.",27638,54.2,10217,64961,177,17048,Internet Services and Retailing,0,393,Mark Zuckerberg,Technology,Internet Services and Retailing,"Menlo Park, CA",http://www.facebook.com,1,59194,59194,15.7,17.3
Travelers Cos.,"The Travelers Companies, Inc., commonly known as Travelers, is an American insurance company. It is the second largest writer of U.S. commercial property casualty insurance and the third largest writer of U.S. personal insurance through independent agents.",27625,3.1,3014,100245,-12.4,30900,Insurance: Property and Casualty (Stock),397,394,Alan D. Schnitzer,Financial Sector,Insurance: Property and Casualty (Stock),"New York, NY",http://www.travelers.com,14,23221,23221,3,13
Capital One Financial,"Capital One Financial Corporation is a bank holding company specializing in credit cards, auto loans, banking and savings accounts headquartered in Capital One Tower in McLean, Virginia.",27519,9.6,3751,357033,-7.4,47300,Banks: Commercial and Savings,430,395,Richard D. Fairbank,Financial Sector,Banks: Commercial and Savings,"McLean, VA",http://www.capitalone.com,7,47514,47514,1.1,7.9
Twenty-First Century Fox,"The Fox Corporation is an American television broadcasting company headquartered in Midtown Manhattan, New York City. It was formed from the 2019 acquisition of 21st Century Fox by the Walt Disney Company.",27326,-5.7,2755,48365,-66.8,21500,Entertainment,360,396,James R. Murdoch,Mass and Media Communication,Entertainment,"New York, NY",http://www.21cf.com,23,13661,13661,5.7,20.2
China Guodian,"China Guodian Corporation is one of the five largest power producers in the People's Republic of China, administrated by SASAC for the State Council of the People's Republic of China.",27315,-10.5,268.7,114611,-67.2,124056,Energy,345,397,Qiao Baoping,Energy,Energy,"Beijing, China",http://www.cgdc.com.cn,8,7496,7496,0.2,3.6
LafargeHolcim,"LafargeHolcim Ltd is a Swiss multinational company that manufactures building materials. It has a presence in around 80 countries and employs around 80,000 employees.",27308,11.4,1817.9,68521,,90903,"Building Materials, Glass",438,398,Eric Olsen,Materials,"Building Materials, Glass","Jona, Switzerland",http://www.lafargeholcim.com,9,30337,30337,2.7,6
Schneider Electric,Schneider Electric SE is a multinational corporation based in France. The company is headquartered in Rueil-Malmaison and is also based at the World Trade Center of Grenoble.,27307,-7.6,1935.2,44137,24,143901,"Electronics, Electrical Equip.",354,399,Jean-Pascal Tricoire,Technology,"Electronics, Electrical Equip.","Rueil-Malmaison, France",http://www.schneider-electric.com,16,21614,21614,4.4,9
China Electronics Technology Group,"The China Electronics Technology Group Corporation was established in 2002, as a People's Republic of China's state-owned company.",27292,3.3,1611.6,35898,-1.5,158064,Aerospace and Defense,408,400,Xiong Qun Li,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.cetc.com.cn,2,15895,15895,4.5,10.1
Toyota Motor,"Toyota Motor Corporation is a Japanese multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan. In 2017, Toyota's corporate structure consisted of 364,445 employees worldwide and, as of September 2018, was the sixth-largest company in the world by revenue.",254694,7.7,16899.3,437575,-12.3,364445,Motor Vehicles and Parts,8,5,Akio Toyoda,Transportation,Motor Vehicles and Parts,"Toyota, Japan",http://www.toyota-global.com,23,157210,157210,3.9,10.7
SAIC Motor,"SAIC Motor Corporation Limited is a Chinese state-owned automotive design and manufacturing company headquartered in Shanghai, with multinational operations.",113861,6.7,4818.2,84989,1.6,97582,Motor Vehicles and Parts,46,41,Chen Zhixin,Transportation,Motor Vehicles and Parts,"Shanghai, China",http://www.saicmotor.com,6,27617,27617,5.7,17.4
USAA,"The United Services Automobile Association is a San Antonio, Texas-based Fortune 500 diversified financial services group of companies including a Texas Department of Insurance-regulated reciprocal inter-insurance exchange and subsidiaries offering banking, investing, and insurance to people and families who serve, or served, in the United States military.",27131,11.4,1779.1,147290,-21.7,29943,Insurance: Property and Casualty (Stock),444,401,Stuart Parker,Financial Sector,Insurance: Property and Casualty (Stock),"San Antonio, TX",http://www.usaa.com,4,28840,28840,1.2,6.2
World Fuel Services,"World Fuel Services Corporation is an energy, commodities, and services company based in Miami, Florida. The company ranked No. 91 in the 2018 Fortune 500 list of the largest United States corporations.",27016,-11.1,126.5,5413,-27.5,5000,Energy,346,402,Michael J. Kasbar,Energy,Energy,"Miami, FL",http://www.wfscorp.com,6,1925,1925,2.3,6.6
Phoenix Pharmahandel,"PHOENIX Pharmahandel Aktiengesellschaft & Co KG, headquartered in Mannheim, Baden-Wurttemberg, is the largest pharmaceutical wholesaler in Germany, and the second largest in Europe with about 153 distribution centers across the country delivering drugs to some 12,000 independent pharmacies.",26976,5.2,135.4,9292,-39.5,26611,Wholesalers: Health Care,416,403,Oliver Windholz,Wholesalers & Retailers,Wholesalers: Health Care,"Mannheim, Germany",http://www.phoenixgroup.eu,7,2732,2732,1.5,5
Veolia Environnement,"Veolia Environnement S.A., branded as Veolia, is a French transnational company with activities in three main service and utility areas traditionally managed by public authorities ‚ water management, waste management and energy services.",26972,-2.6,423.6,40022,-15.2,156225,Utilities,382,404,Antoine Frerot,Energy,Utilities,"Paris, France",http://www.veolia.com,15,8173,8173,1.1,5.2
National Australia Bank,"National Australia Bank is one of the four largest financial institutions in Australia in terms of market capitalisation, earnings and customers.",26958,-21.1,259,594967,-94.8,34263,Banks: Commercial and Savings,304,405,Andrew G. Thorburn,Financial Sector,Banks: Commercial and Savings,"Docklands, Australia",http://www.nab.com.au,22,39244,39244,,0.7
Philip Morris International,"Philip Morris International Inc. is an American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries outside the United States. The most recognized and best selling product of the company is Marlboro.",26685,-0.4,6967,36851,1.4,79500,Tobacco,398,406,Andre Calantzopoulos,"Food, Beverages & Tobacco",Tobacco,"New York, NY",http://www.pmi.com,9,-12688,-12688,18.9,
Deere,"John Deere is the brand name of Deere &amp; Company, an American corporation that manufactures agricultural, construction, and forestry machinery, diesel engines, drivetrains used in heavy equipment, and lawn care equipment.",26644,-7.7,1523.9,57981,-21.4,56767,Construction and Farm Machinery,364,407,Samuel R. Allen,Industrial Sector,Construction and Farm Machinery,"Moline, IL",http://www.johndeere.com,23,6520,6520,2.6,23.4
East Japan Railway,"East Japan Railway Company is a major passenger railway company in Japan and is the largest of the seven Japan Railways Group companies. The company name is officially abbreviated as JR-EAST or JR East in English, and as JR Higashi-Nihon in Japanese. The company's headquarters are in Yoyogi, Shibuya, Tokyo.",26587,11.3,2565,71009,25.5,85834,Railroads,447,408,Tetsuro Tomita,Transportation,Railroads,"Tokyo, Japan",http://www.jreast.co.jp,23,23253,23253,3.6,11
Achmea,"Achmea Holding N.V. is one of the largest suppliers of financial services in the Netherlands. The company was formed by a merger of Zilveren Kruis and Centraal Beheer Groep on January 1, 1995.",26494,2.8,-423.5,98096,-199.7,14921,"Insurance: Life, Health (Mutual)",413,409,Willem A.J. van Duin,Financial Sector,"Insurance: Life, Health (Mutual)","Zeist, Netherlands",http://www.achmea.nl,4,10308,10308,-0.4,-4.1
Kraft Heinz,"The Kraft Heinz Company is an American food company formed by the merger of Kraft Foods and Heinz based in Chicago, Illinois and Pittsburgh, Pennsylvania.",26487,44.4,3632,120480,472.9,41000,Food Consumer Products,0,410,Bernardo Hees,"Food, Beverages & Tobacco",Food Consumer Products,"Pittsburgh, PA",http://www.kraftheinzcompany.com,3,57358,57358,3,6.3
Bank of China,"Bank of China is one of the four biggest state-owned commercial banks in China. Bank of China is legally separate from its subsidiary Bank of China, although they maintain close relations in management and administration and co-operate in several areas including reselling BOC's insurance and securities services.",113708,-7.1,24773.4,2611539,-8.9,308900,Banks: Commercial and Savings,35,42,Chen Siqing,Financial Sector,Banks: Commercial and Savings,"Beijing, China",http://www.boc.cn,23,203134,203134,0.9,12.2
Cathay Life Insurance,"Cathay Life Insurance is a life insurance company in Taiwan founded in 1962.The firm offers life, health, and annuities. In 2017, Cathay ranked 411th on the Fortune Global 500.",26292,14.9,934,172442,-22.5,36578,"Insurance: Life, Health (stock)",468,411,Ming-Ho Hsiung,Financial Sector,"Insurance: Life, Health (stock)","Taipei, Taiwan",http://www.cathaylife.com.tw,16,11212,11212,0.5,8.3
Tech Data,"Tech Data Corporation is an American multinational distribution company specializing in IT products and services headquartered in Clearwater, Florida.",26235,-0.5,195.1,7932,-26.6,9500,Wholesalers: Electronics and Office Equipment,409,412,Robert M. Dutkowsky,Wholesalers & Retailers,Wholesalers: Electronics and Office Equipment,"Clearwater, FL",http://www.techdata.com,19,2170,2170,2.5,9
Samsung Life Insurance,"Samsung Life Insurance is a South Korean multinational insurance company headquartered in Seoul, South Korea, and a subsidiary of the Samsung Group. It is the largest insurance company in South Korea and a Fortune Global 500 company.Samsung Life's principal products include life, health insurance and annuities. Samsung Life was a private company from its foundation in 1957 until it went public in May 2010.",26222,7,1770.3,219157,65.3,5284,"Insurance: Life, Health (stock)",439,413,Chang-Soo Kim,Financial Sector,"Insurance: Life, Health (stock)","Seoul, South Korea",http://www.samsunglife.com,21,22064,22064,0.8,8
Avnet,"Avnet, Inc. is one of the world's largest distributors of electronic components and embedded solutions and is headquartered in Phoenix, Arizona.",26219,-6.1,506.5,11240,-11.4,17700,Wholesalers: Electronics and Office Equipment,380,414,William J. Amelio,Wholesalers & Retailers,Wholesalers: Electronics and Office Equipment,"Phoenix, AZ",http://www.avnet.com,7,4691,4691,4.5,10.8
Nokia,"Nokia Corporation is a Finnish multinational telecommunications, information technology, and consumer electronics company, founded in 1865. Nokia's headquarters are in Espoo, in the greater Helsinki metropolitan area.",26113,73.4,-847.1,47354,-131,102687,Network and Other Communications Equipment,0,415,Rajeev Suri,Technology,Network and Other Communications Equipment,"Espoo, Finland",http://www.nokia.com,19,21192,21192,-1.8,-4
Enbridge,"Enbridge Inc. is a Canadian multinational energy transportation company based in Calgary, Alberta. It focuses on the transportation, distribution and generation of energy, primarily in North America.",26073,-1.4,1560.9,64011,695,7733,Pipelines,407,416,Al Monaco,Energy,Pipelines,"Calgary, Alberta, Canada",http://www.enbridge.com,4,15949,15949,2.4,9.8
